hour,month,day_of_week,is_weekend,pm25,pm10,so2,nox,no2,co,wind_speed,temperature,humidity,pm_ratio,nox_so2_ratio,label
18,2,1,0,127.85,220.68,7.01,82.85,52.01,1.959,1.77,25.3,72.9,0.579,11.811,vehicular
7,6,0,0,87.42,82.21,2.16,81.75,57.28,1.021,2.51,36.9,57.2,1.063,37.931,vehicular
9,12,2,0,137.22,347.95,-2.55,22.57,17.33,1.106,3.61,29.7,44.1,0.394,5.0,agricultural_burning
11,10,1,0,194.79,398.88,5.93,27.14,13.82,0.831,2.61,28.1,44.7,0.488,4.577,agricultural_burning
22,3,2,0,105.8,145.07,70.49,37.09,28.78,0.804,1.37,25.6,55.4,0.729,0.526,industrial
1,12,3,0,141.17,132.29,67.17,32.87,21.73,0.366,3.34,17.9,61.8,1.067,0.489,industrial
7,10,0,0,83.08,146.48,8.12,117.79,64.58,3.8,2.62,24.6,52.7,0.567,14.499,vehicular
3,9,6,1,59.17,117.38,5.13,10.56,5.54,0.625,1.25,33.6,65.0,0.504,2.058,unknown
23,11,0,0,190.65,257.37,99.35,34.29,32.5,1.051,1.88,23.4,97.2,0.741,0.345,industrial
6,1,3,0,103.62,149.72,11.91,32.52,25.3,1.311,1.09,17.4,70.3,0.692,2.73,seasonal_inversion
23,1,1,0,113.59,159.06,63.88,22.33,15.74,1.021,1.99,30.0,47.4,0.714,0.35,industrial
7,6,4,0,91.38,150.81,5.79,56.83,37.53,2.374,0.58,24.2,25.7,0.606,9.821,vehicular
20,5,3,0,91.96,123.39,3.9,86.27,56.8,2.181,1.73,33.6,22.6,0.745,22.11,vehicular
5,1,2,0,54.51,63.45,6.7,14.28,5.32,0.561,1.55,32.9,54.9,0.859,2.132,unknown
6,2,6,1,61.03,73.11,7.31,22.65,12.7,0.979,0.75,31.8,72.2,0.835,3.098,seasonal_inversion
10,11,1,0,114.01,166.39,3.03,81.31,36.27,2.138,2.87,26.6,39.4,0.685,26.862,vehicular
5,2,4,0,49.02,95.91,10.34,16.34,13.91,0.353,7.88,46.6,38.4,0.511,1.58,unknown
18,4,5,1,50.25,79.27,3.08,12.51,7.49,0.398,7.78,31.3,70.3,0.634,4.057,unknown
18,7,5,1,81.0,116.69,2.4,18.1,10.7,0.462,1.24,22.5,30.7,0.694,7.527,unknown
20,2,4,0,68.16,82.51,5.26,73.58,54.1,2.402,0.51,36.2,24.1,0.826,13.991,vehicular
23,1,6,1,195.72,243.44,74.41,34.98,30.32,0.06,2.34,22.4,100.0,0.804,0.47,industrial
3,8,6,1,174.58,190.73,53.37,36.47,29.07,0.965,3.59,23.2,54.4,0.915,0.683,industrial
9,11,3,0,72.87,95.59,13.49,38.43,23.01,1.086,0.36,17.9,78.9,0.762,2.848,seasonal_inversion
9,3,1,0,162.04,353.61,2.67,33.73,19.65,2.462,3.82,32.1,35.7,0.458,12.635,agricultural_burning
1,3,1,0,30.21,36.8,0.96,35.74,19.24,0.373,2.25,27.3,70.5,0.821,37.242,unknown
6,1,3,0,105.53,151.82,22.26,34.06,18.42,1.02,0.23,20.6,81.2,0.695,1.53,seasonal_inversion
22,8,0,0,119.41,168.8,71.07,29.89,14.4,0.499,1.63,24.1,60.4,0.707,0.421,industrial
7,1,0,0,85.44,112.88,5.98,114.11,87.36,3.189,1.72,37.9,55.8,0.757,19.07,vehicular
20,5,0,0,11.13,11.26,10.95,6.14,5.57,0.268,1.46,35.6,88.9,0.988,0.561,unknown
10,5,3,0,87.1,128.62,3.83,92.38,50.19,2.554,1.27,36.2,51.2,0.677,24.139,vehicular
9,12,6,1,150.14,295.33,15.94,35.85,23.06,2.198,1.2,34.4,31.0,0.508,2.249,agricultural_burning
6,1,5,1,63.2,67.26,19.42,46.05,41.56,0.899,1.07,25.7,59.0,0.94,2.372,seasonal_inversion
16,12,2,0,161.46,239.73,15.55,32.88,22.39,0.826,1.84,35.2,54.7,0.674,2.114,agricultural_burning
4,9,6,1,169.84,234.86,101.45,9.4,2.56,0.515,3.43,27.5,54.7,0.723,0.093,industrial
8,11,3,0,103.15,139.42,13.25,17.99,6.83,0.936,0.41,18.8,90.3,0.74,1.358,seasonal_inversion
16,12,6,1,40.12,37.77,5.46,41.06,27.77,0.351,1.6,32.6,53.4,1.062,7.514,unknown
18,4,0,0,150.33,287.85,11.97,3.55,5.95,0.82,1.79,36.6,40.8,0.522,0.296,agricultural_burning
6,6,0,0,158.62,176.13,112.95,21.5,17.95,1.301,3.76,27.9,91.5,0.901,0.19,industrial
17,11,4,0,59.01,77.11,4.27,50.88,18.56,2.509,1.81,27.2,70.8,0.765,11.918,vehicular
10,4,4,0,227.14,342.37,14.29,10.18,6.71,1.371,4.45,37.5,78.9,0.663,0.712,agricultural_burning
20,8,3,0,63.58,99.66,12.97,88.74,57.59,1.334,1.32,35.3,55.0,0.638,6.842,vehicular
1,11,0,0,68.09,122.89,13.85,23.54,14.74,0.816,4.94,20.9,66.1,0.554,1.699,unknown
6,11,2,0,154.54,164.09,101.96,34.8,15.93,0.865,3.46,23.7,62.2,0.942,0.341,industrial
11,12,5,1,141.66,298.9,13.35,27.4,18.03,0.544,2.02,35.0,26.6,0.474,2.053,agricultural_burning
10,10,6,1,199.93,289.02,14.11,12.57,5.53,2.963,4.96,32.5,22.1,0.692,0.891,agricultural_burning
6,7,5,1,107.37,153.72,125.85,58.26,38.87,0.791,3.02,24.9,47.8,0.698,0.463,industrial
8,1,0,0,50.78,73.92,5.22,30.17,20.0,0.658,0.71,11.8,88.4,0.687,5.783,seasonal_inversion
12,10,4,0,177.74,250.21,2.79,6.95,2.17,1.839,4.33,35.8,45.0,0.71,2.492,agricultural_burning
8,11,6,1,50.45,60.52,2.93,13.77,3.94,0.626,1.72,34.7,46.9,0.834,4.7,unknown
10,2,2,0,85.3,121.28,7.54,29.06,18.72,0.741,1.21,13.2,86.5,0.703,3.854,seasonal_inversion
19,11,1,0,73.19,131.98,4.31,61.11,33.81,3.575,1.1,31.3,72.7,0.555,14.187,vehicular
9,12,3,0,81.32,142.24,1.67,21.52,8.31,1.095,0.14,16.8,60.1,0.572,12.876,seasonal_inversion
8,11,4,0,79.32,129.47,13.1,30.31,26.8,0.661,0.64,14.2,73.7,0.613,2.313,seasonal_inversion
6,9,1,0,140.98,207.26,88.36,51.25,38.95,0.862,3.5,35.0,31.2,0.68,0.58,industrial
8,12,6,1,98.3,154.09,6.64,31.78,27.23,0.974,1.27,14.9,68.3,0.638,4.784,seasonal_inversion
1,7,1,0,201.64,274.71,100.81,58.18,47.1,1.24,1.8,23.7,51.0,0.734,0.577,industrial
11,10,5,1,154.86,276.0,10.23,25.71,10.16,1.863,2.35,35.1,45.9,0.561,2.513,agricultural_burning
10,11,6,1,101.43,105.28,11.53,42.6,25.99,0.952,1.45,22.5,80.9,0.963,3.695,seasonal_inversion
18,4,5,1,138.53,279.24,2.95,5.82,2.67,1.105,4.21,29.6,72.6,0.496,1.973,agricultural_burning
12,12,5,1,35.93,44.87,3.69,-1.66,-2.15,0.586,5.47,15.3,68.2,0.801,-0.451,unknown
10,3,2,0,45.45,67.33,9.47,13.92,6.11,0.438,5.99,39.7,72.9,0.675,1.47,unknown
9,11,0,0,95.88,149.86,17.71,24.57,15.45,1.605,2.59,34.0,27.1,0.64,1.388,agricultural_burning
10,3,1,0,101.75,157.1,4.86,73.92,50.74,2.691,2.03,36.1,68.0,0.648,15.219,vehicular
9,12,5,1,61.51,93.39,10.24,20.29,8.89,0.827,1.3,20.8,91.8,0.659,1.981,seasonal_inversion
23,8,3,0,43.42,89.08,11.62,20.08,12.83,0.712,3.18,42.5,76.9,0.487,1.728,unknown
16,4,0,0,226.47,334.76,8.69,10.95,8.26,0.779,3.43,37.7,50.8,0.677,1.26,agricultural_burning
22,12,2,0,44.68,84.84,9.85,-2.39,-2.17,0.673,3.71,14.7,37.3,0.527,-0.243,unknown
4,1,2,0,53.1,72.23,7.2,17.18,11.75,0.661,3.23,31.1,73.5,0.735,2.386,unknown
6,9,2,0,48.42,63.49,11.48,28.8,22.23,0.431,4.72,27.9,69.7,0.763,2.509,unknown
18,3,4,0,98.28,168.49,3.64,71.09,52.26,3.101,1.63,27.3,69.0,0.583,19.552,vehicular
1,6,6,1,185.89,236.45,43.09,49.88,27.03,0.809,2.89,27.8,51.1,0.786,1.158,industrial
21,2,1,0,44.83,70.98,12.19,11.46,2.43,0.504,2.95,25.2,23.3,0.632,0.94,unknown
9,4,3,0,61.7,127.31,4.05,113.15,72.03,1.378,0.8,27.6,36.7,0.485,27.931,vehicular
20,3,3,0,72.0,116.43,2.48,104.67,63.43,3.158,1.81,27.2,63.8,0.618,42.236,vehicular
14,11,3,0,181.96,353.75,5.48,16.46,13.05,2.432,3.59,28.2,56.9,0.514,3.006,agricultural_burning
6,6,3,0,162.61,228.42,93.95,43.46,30.32,0.957,3.85,35.7,84.0,0.712,0.463,industrial
10,12,3,0,53.68,78.7,5.16,16.37,2.34,0.617,0.51,16.7,76.6,0.682,3.176,seasonal_inversion
7,11,2,0,55.16,104.36,5.13,82.26,54.32,1.019,1.63,28.8,48.9,0.529,16.02,vehicular
9,6,3,0,67.97,130.52,3.14,83.69,53.62,1.878,0.93,28.2,58.9,0.521,26.656,vehicular
18,4,3,0,133.63,261.58,8.76,15.14,10.19,0.962,2.03,26.8,26.2,0.511,1.727,agricultural_burning
13,12,0,0,69.07,192.18,11.76,28.44,15.59,2.443,2.18,36.3,64.1,0.359,2.419,agricultural_burning
10,10,1,0,91.38,221.26,10.04,9.53,4.19,2.244,1.27,27.2,66.5,0.413,0.949,agricultural_burning
8,11,3,0,121.45,168.79,4.4,27.91,15.9,0.83,0.61,21.0,82.1,0.72,6.35,seasonal_inversion
22,1,0,0,133.39,189.34,77.89,52.98,42.89,1.16,1.84,36.9,59.8,0.704,0.68,industrial
10,7,2,0,62.96,81.9,7.37,13.52,5.8,0.63,1.61,33.4,54.8,0.769,1.835,unknown
10,2,2,0,168.01,219.07,15.93,36.76,28.97,0.884,0.92,21.4,91.7,0.767,2.308,seasonal_inversion
7,2,3,0,68.73,98.44,-0.39,152.22,84.57,2.635,2.11,29.8,67.9,0.698,5.0,vehicular
9,12,5,1,121.31,147.98,7.25,29.63,10.42,0.764,0.1,16.9,59.9,0.82,4.089,seasonal_inversion
10,1,3,0,111.78,170.87,10.88,12.89,10.33,0.698,0.72,15.7,72.0,0.654,1.185,seasonal_inversion
5,2,2,0,127.15,162.68,77.36,44.61,29.21,1.023,2.89,32.3,47.1,0.782,0.577,industrial
13,3,6,1,220.79,361.23,8.96,6.12,0.53,2.728,3.69,35.7,15.0,0.611,0.682,agricultural_burning
18,12,3,0,62.04,105.49,11.04,74.29,26.43,1.817,1.25,24.7,20.5,0.588,6.731,vehicular
3,1,6,1,25.31,32.65,9.67,12.55,5.34,0.668,3.59,27.5,68.9,0.775,1.298,unknown
18,10,5,1,124.59,203.38,5.01,11.92,2.49,2.032,4.5,39.2,59.0,0.613,2.376,agricultural_burning
23,1,4,0,169.09,251.64,72.61,2.8,-4.64,1.24,3.77,27.4,58.4,0.672,0.039,industrial
17,12,2,0,151.83,208.07,4.57,14.48,6.23,2.034,2.51,29.6,56.5,0.73,3.17,agricultural_burning
9,7,4,0,62.82,94.6,6.09,50.68,19.45,3.792,1.08,26.8,38.9,0.664,8.315,vehicular
10,7,0,0,74.27,141.83,10.09,84.01,52.23,3.754,2.53,41.7,48.0,0.524,8.324,vehicular
20,6,4,0,108.73,158.14,5.43,137.04,70.5,1.993,2.39,33.7,30.1,0.688,25.223,vehicular
15,7,6,1,44.08,66.13,13.95,47.18,32.34,0.555,3.37,29.9,48.0,0.667,3.382,unknown
3,7,6,1,125.58,151.73,81.21,49.15,32.6,1.566,0.97,28.1,81.4,0.828,0.605,industrial
2,6,3,0,208.64,235.28,95.87,24.7,21.19,0.648,2.2,22.3,73.9,0.887,0.258,industrial
18,4,3,0,51.82,60.92,13.33,39.95,23.11,0.723,1.97,36.3,61.3,0.85,2.998,unknown
16,9,6,1,36.33,59.56,5.82,21.05,9.41,0.503,4.74,26.1,75.2,0.61,3.616,unknown
7,12,5,1,107.15,149.55,19.73,29.13,23.91,0.902,1.47,22.8,67.8,0.717,1.476,seasonal_inversion
7,5,1,0,53.21,92.79,8.74,25.95,11.04,0.31,7.0,36.5,81.2,0.573,2.968,unknown
18,3,4,0,63.65,95.28,8.33,129.19,86.35,2.718,2.06,28.5,52.3,0.668,15.518,vehicular
5,12,0,0,231.58,256.16,110.02,10.74,0.29,1.235,3.54,34.9,50.7,0.904,0.098,industrial
11,4,1,0,55.73,90.96,7.81,15.34,8.31,0.549,1.49,34.9,67.6,0.613,1.965,unknown
6,1,3,0,157.62,177.01,70.16,54.58,41.24,0.85,2.78,32.5,49.8,0.89,0.778,industrial
9,7,3,0,39.98,66.28,12.35,21.43,5.75,0.439,4.77,46.0,78.0,0.603,1.735,unknown
9,2,5,1,104.37,147.56,22.27,18.01,17.17,0.773,0.64,17.8,76.3,0.707,0.809,seasonal_inversion
6,12,0,0,47.24,73.95,13.44,19.46,12.0,0.403,3.52,42.3,54.5,0.639,1.448,unknown
22,1,4,0,271.7,303.69,85.22,5.25,2.4,0.974,0.89,25.7,54.5,0.895,0.062,industrial
8,6,0,0,39.35,55.37,11.7,26.53,13.28,0.112,6.57,33.3,73.9,0.711,2.267,unknown
18,7,0,0,77.91,139.38,6.66,151.74,71.52,3.766,2.65,18.1,55.3,0.559,22.772,vehicular
18,10,4,0,211.96,353.87,8.67,20.89,10.66,1.379,2.89,20.8,23.5,0.599,2.409,agricultural_burning
5,12,2,0,81.02,132.28,14.51,30.49,23.9,1.123,1.22,24.9,76.5,0.613,2.102,seasonal_inversion
20,3,1,0,26.2,41.86,1.59,35.75,22.03,0.314,3.85,23.5,47.7,0.626,22.441,unknown
9,2,5,1,78.73,114.18,11.08,30.2,10.72,0.71,1.36,22.4,84.2,0.69,2.726,seasonal_inversion
9,10,1,0,152.17,322.53,15.63,5.81,1.46,2.271,2.5,33.5,27.5,0.472,0.372,agricultural_burning
9,12,5,1,118.55,211.83,15.76,16.97,9.57,0.706,0.19,17.5,76.2,0.56,1.077,seasonal_inversion
9,11,6,1,60.61,129.02,3.95,30.4,17.79,2.587,3.51,34.0,34.9,0.47,7.687,agricultural_burning
4,4,5,1,50.19,59.18,9.12,17.89,12.81,0.537,2.18,26.2,74.4,0.848,1.962,unknown
18,11,6,1,123.58,173.82,17.04,17.76,8.88,3.674,2.5,33.0,45.0,0.711,1.042,agricultural_burning
17,12,1,0,169.15,245.89,6.79,29.99,15.95,2.259,3.16,28.7,54.7,0.688,4.416,agricultural_burning
23,10,6,1,132.72,146.68,51.88,42.17,28.19,1.114,0.6,34.4,52.6,0.905,0.813,industrial
15,4,6,1,196.87,313.53,13.32,16.17,10.31,2.396,2.53,37.0,26.2,0.628,1.214,agricultural_burning
19,9,4,0,95.32,221.33,7.63,80.55,66.4,1.584,1.86,32.7,68.3,0.431,10.552,vehicular
7,12,3,0,55.36,85.03,1.44,1.96,4.05,0.83,1.08,28.2,53.1,0.651,1.358,unknown
18,12,4,0,49.79,73.3,6.39,12.35,9.55,0.098,6.54,18.4,49.2,0.679,1.933,unknown
18,4,4,0,144.12,188.91,2.7,93.05,58.25,1.36,1.83,30.6,79.0,0.763,34.488,vehicular
6,2,4,0,127.86,200.29,13.55,23.75,11.08,0.663,1.13,14.2,66.5,0.638,1.753,seasonal_inversion
6,12,5,1,75.25,113.13,17.51,24.59,15.21,1.226,0.17,16.2,64.5,0.665,1.404,seasonal_inversion
2,3,5,1,56.45,87.13,10.18,28.55,16.81,0.435,7.67,23.9,34.7,0.648,2.804,unknown
13,10,5,1,97.72,260.9,-1.89,8.55,-1.14,1.411,4.53,37.8,69.7,0.375,5.0,agricultural_burning
16,11,2,0,43.12,71.34,6.43,32.02,24.3,0.508,5.73,16.1,73.0,0.604,4.978,unknown
7,12,5,1,107.57,142.93,20.02,24.83,12.63,1.091,1.25,11.6,82.9,0.753,1.24,seasonal_inversion
17,10,0,0,172.53,233.24,12.74,17.85,9.47,0.812,2.26,41.8,26.9,0.74,1.401,agricultural_burning
22,9,1,0,151.97,244.18,103.74,53.4,36.14,1.216,1.1,27.1,66.6,0.622,0.515,industrial
2,2,1,0,147.9,215.55,84.49,44.87,32.48,0.812,2.54,14.4,72.4,0.686,0.531,industrial
7,12,4,0,47.87,78.27,11.51,48.09,37.73,1.877,2.13,30.3,49.2,0.612,4.178,vehicular
2,4,5,1,191.38,221.89,111.74,24.4,16.38,0.502,2.38,24.3,64.1,0.863,0.218,industrial
3,10,3,0,141.97,185.42,72.22,45.7,24.86,0.414,3.85,33.5,60.7,0.766,0.633,industrial
7,1,2,0,54.47,120.05,13.25,18.71,17.44,1.499,1.44,19.5,75.8,0.454,1.412,seasonal_inversion
18,3,6,1,65.03,82.14,17.81,25.58,18.69,0.393,3.05,29.6,51.4,0.792,1.436,unknown
9,10,3,0,98.88,200.2,7.88,79.31,50.96,2.673,1.63,22.1,32.0,0.494,10.062,vehicular
9,9,3,0,85.09,177.69,6.13,119.95,76.1,1.646,2.1,38.5,31.5,0.479,19.559,vehicular
7,1,4,0,90.83,155.43,4.69,50.39,36.12,1.844,1.13,32.4,62.2,0.584,10.743,vehicular
7,11,5,1,78.27,109.64,10.26,41.47,26.72,0.858,0.57,12.0,78.9,0.714,4.041,seasonal_inversion
12,4,5,1,25.02,25.39,-0.87,33.68,20.82,0.537,7.19,31.3,98.0,0.985,5.0,unknown
5,4,5,1,164.12,179.39,58.2,28.79,19.5,0.825,0.97,28.7,39.3,0.915,0.495,industrial
8,12,2,0,98.32,167.93,10.75,29.58,21.77,0.699,0.7,28.5,63.2,0.585,2.752,seasonal_inversion
1,4,1,0,216.77,283.61,67.33,18.64,12.95,0.942,1.66,22.0,54.9,0.764,0.277,industrial
7,10,5,1,32.65,65.77,6.12,22.68,16.57,0.865,1.83,15.6,69.9,0.496,3.705,unknown
7,1,3,0,167.31,219.53,2.36,38.13,29.09,1.12,0.91,26.5,52.1,0.762,16.133,seasonal_inversion
18,10,3,0,158.03,319.75,12.17,41.88,23.47,2.735,2.27,36.1,32.5,0.494,3.441,agricultural_burning
17,9,2,0,38.84,95.76,2.22,84.16,59.07,1.57,1.5,34.6,56.8,0.406,37.84,vehicular
19,10,4,0,68.55,117.57,5.15,91.54,68.86,2.607,0.64,25.1,68.5,0.583,17.788,vehicular
10,4,6,1,113.83,231.83,11.91,11.62,6.08,1.65,1.32,29.1,51.4,0.491,0.976,agricultural_burning
17,4,4,0,82.12,109.35,8.4,97.92,66.33,1.266,0.79,36.2,46.7,0.751,11.659,vehicular
9,10,5,1,221.15,437.74,2.32,8.24,3.82,2.887,3.94,26.7,46.4,0.505,3.549,agricultural_burning
1,7,2,0,135.58,184.75,128.97,35.86,21.27,0.503,2.04,31.3,69.5,0.734,0.278,industrial
9,8,1,0,81.9,135.72,2.23,114.64,77.78,1.268,0.7,27.8,76.2,0.603,51.301,vehicular
6,2,5,1,24.44,21.77,6.35,13.53,8.46,0.816,5.72,25.2,48.5,1.123,2.13,unknown
19,5,4,0,101.85,187.7,3.26,41.28,24.39,2.389,2.22,25.9,77.4,0.543,12.658,vehicular
1,3,3,0,178.69,232.32,61.63,43.4,30.62,0.486,2.12,29.3,53.0,0.769,0.704,industrial
7,1,3,0,102.86,123.8,3.01,25.41,13.46,0.727,0.26,15.4,75.6,0.831,8.43,seasonal_inversion
10,4,3,0,24.35,33.18,4.7,21.15,14.56,0.602,7.89,19.9,46.5,0.734,4.5,unknown
8,9,0,0,69.68,96.85,1.79,58.12,34.9,1.603,2.3,30.7,60.4,0.72,32.399,vehicular
15,9,1,0,11.03,22.38,9.62,27.33,19.81,0.641,6.16,28.2,64.2,0.493,2.841,unknown
9,2,6,1,137.68,160.47,10.02,38.52,26.41,0.95,1.16,15.5,48.7,0.858,3.845,seasonal_inversion
1,3,1,0,138.82,194.83,71.98,38.88,20.24,0.914,1.57,28.7,80.4,0.713,0.54,industrial
19,9,4,0,57.99,89.39,7.36,122.19,64.97,2.757,0.64,34.1,60.1,0.649,16.611,vehicular
23,6,6,1,46.22,60.99,8.74,43.28,24.97,0.129,3.58,38.0,55.3,0.758,4.952,unknown
7,12,0,0,62.97,107.47,10.69,113.26,81.47,4.076,1.08,25.5,45.7,0.586,10.598,vehicular
11,7,1,0,25.42,41.49,14.22,26.1,13.37,0.54,3.23,22.8,84.1,0.613,1.836,unknown
10,6,3,0,77.03,153.1,3.38,92.18,67.64,2.139,2.76,17.5,70.6,0.503,27.251,vehicular
12,3,0,0,38.19,54.36,9.53,16.51,8.93,0.283,5.32,35.3,56.1,0.702,1.732,unknown
7,12,2,0,78.91,69.97,8.05,8.09,1.29,0.8,0.21,11.7,96.2,1.128,1.004,seasonal_inversion
12,2,3,0,16.09,19.24,6.28,29.46,11.22,0.299,7.73,40.1,58.8,0.836,4.693,unknown
18,8,0,0,10.81,7.64,7.27,21.62,9.28,0.845,2.31,28.3,87.8,1.416,2.974,unknown
10,4,4,0,115.06,189.25,-0.18,78.3,56.84,3.953,1.64,28.2,73.6,0.608,5.0,vehicular
0,3,6,1,40.72,40.99,5.12,20.3,11.87,0.129,6.27,35.1,32.9,0.994,3.968,unknown
4,7,5,1,111.08,116.1,66.82,28.07,16.84,0.305,3.17,26.5,72.1,0.957,0.42,industrial
18,10,2,0,156.48,318.23,13.8,13.53,7.47,2.124,1.32,33.0,54.6,0.492,0.981,agricultural_burning
6,6,0,0,58.63,52.8,11.4,17.54,14.53,0.399,3.99,44.1,32.2,1.111,1.538,unknown
23,11,4,0,56.21,107.28,6.94,18.91,10.42,0.675,4.81,22.2,46.6,0.524,2.725,unknown
5,3,6,1,101.82,136.23,98.57,11.51,10.01,0.528,1.17,22.0,49.3,0.747,0.117,industrial
16,9,2,0,39.45,77.06,11.97,21.48,11.6,0.255,3.64,39.9,79.4,0.512,1.794,unknown
4,2,2,0,144.74,196.78,53.98,34.5,12.15,1.264,0.9,23.0,44.6,0.736,0.639,industrial
9,2,6,1,179.61,282.23,18.53,42.98,22.84,1.301,0.61,13.7,83.8,0.636,2.32,seasonal_inversion
8,2,5,1,36.86,41.09,12.33,13.4,13.39,0.404,7.64,21.6,23.8,0.897,1.087,unknown
12,12,2,0,168.02,314.37,6.65,31.94,24.12,1.652,1.87,38.8,53.9,0.534,4.801,agricultural_burning
22,4,3,0,175.51,199.93,63.74,29.01,20.13,1.081,1.13,38.9,72.6,0.878,0.455,industrial
6,12,5,1,110.68,155.95,18.2,6.63,1.8,0.727,0.13,17.5,70.9,0.71,0.364,seasonal_inversion
19,11,5,1,29.45,34.69,5.2,35.65,28.56,0.087,6.27,26.0,52.7,0.849,6.86,unknown
12,9,2,0,18.99,19.39,11.51,31.86,18.27,0.411,4.07,26.0,72.0,0.98,2.767,unknown
14,3,5,1,187.6,316.24,6.86,6.28,1.98,0.716,1.58,31.2,57.6,0.593,0.916,agricultural_burning
17,9,3,0,42.86,99.44,8.2,120.58,75.86,2.142,0.61,39.6,69.9,0.431,14.697,vehicular
6,12,2,0,142.43,155.89,24.03,19.71,14.42,0.405,0.64,28.2,67.2,0.914,0.82,seasonal_inversion
7,11,3,0,118.1,181.67,21.2,25.34,15.87,0.85,0.31,26.0,75.3,0.65,1.196,seasonal_inversion
5,4,0,0,148.49,198.5,91.12,42.46,31.05,1.029,2.38,27.9,68.6,0.748,0.466,industrial
19,4,3,0,90.89,180.14,5.48,92.18,50.0,1.945,1.09,38.2,39.3,0.505,16.825,vehicular
13,7,2,0,60.59,80.79,7.81,21.02,13.4,0.37,7.84,24.5,53.5,0.75,2.69,unknown
20,12,2,0,23.14,10.72,7.27,27.24,18.58,0.396,5.96,25.6,80.8,2.159,3.748,unknown
9,5,0,0,53.09,69.28,5.37,35.74,24.62,0.597,1.55,25.9,36.2,0.766,6.654,unknown
6,12,1,0,210.64,251.59,56.0,22.75,19.81,0.809,3.65,29.9,54.3,0.837,0.406,industrial
14,10,5,1,130.49,172.9,9.84,2.15,2.05,1.261,4.28,26.3,37.8,0.755,0.219,agricultural_burning
3,11,0,0,116.46,103.59,95.23,51.42,36.71,1.275,3.2,23.8,58.1,1.124,0.54,industrial
18,10,2,0,218.57,370.72,6.65,24.05,13.47,1.993,3.61,29.1,44.3,0.59,3.614,agricultural_burning
2,4,5,1,139.91,207.68,57.1,17.49,11.74,0.8,1.51,26.3,77.8,0.674,0.306,industrial
9,5,0,0,100.82,131.98,5.09,113.67,48.09,2.761,1.38,37.2,42.2,0.764,22.312,vehicular
20,10,1,0,53.53,80.02,10.88,99.14,66.92,4.152,0.63,27.2,43.8,0.669,9.115,vehicular
8,7,1,0,58.99,97.98,6.4,69.09,46.44,1.741,1.42,23.5,55.0,0.602,10.794,vehicular
10,3,3,0,191.02,317.4,9.4,18.68,3.12,2.725,3.01,36.7,27.7,0.602,1.987,agricultural_burning
12,11,6,1,165.31,263.24,0.98,41.74,24.54,2.501,4.22,32.3,22.5,0.628,42.699,agricultural_burning
8,11,4,0,78.39,180.89,8.26,58.82,33.26,1.391,1.29,21.7,47.8,0.433,7.125,vehicular
6,11,0,0,186.71,302.35,75.21,29.29,24.75,0.555,2.7,18.5,57.6,0.618,0.389,industrial
1,10,0,0,22.74,25.99,4.9,6.2,3.0,0.445,5.29,30.1,43.2,0.875,1.266,unknown
7,11,6,1,108.54,174.45,11.83,30.05,17.69,0.978,0.59,20.7,68.8,0.622,2.541,seasonal_inversion
18,2,3,0,104.36,174.84,12.79,146.95,109.24,3.124,1.03,25.8,52.7,0.597,11.49,vehicular
8,8,2,0,34.46,59.41,2.61,17.26,12.27,0.349,3.89,26.5,45.6,0.58,6.625,unknown
16,10,2,0,242.17,332.74,12.8,13.09,8.15,2.238,1.59,31.0,49.8,0.728,1.023,agricultural_burning
9,1,5,1,37.31,42.4,13.77,18.27,18.35,0.808,0.38,26.1,82.8,0.88,1.327,seasonal_inversion
0,4,2,0,23.74,31.69,5.71,16.49,10.76,0.395,4.42,24.6,41.7,0.749,2.888,unknown
23,6,2,0,43.21,61.95,19.21,15.92,13.04,0.324,3.79,13.2,29.8,0.698,0.829,unknown
16,12,2,0,56.62,82.03,10.28,29.78,19.65,0.393,6.88,25.2,47.4,0.69,2.898,unknown
9,10,0,0,29.98,42.57,6.91,11.2,8.81,0.484,7.95,25.0,38.5,0.704,1.622,unknown
1,3,4,0,231.41,328.53,79.88,57.8,33.48,0.721,0.83,32.3,63.9,0.704,0.724,industrial
13,11,0,0,146.77,310.01,8.0,22.92,14.15,2.331,3.25,36.1,26.8,0.473,2.866,agricultural_burning
10,12,0,0,118.46,315.27,5.66,19.7,9.74,1.397,4.52,24.3,55.2,0.376,3.478,agricultural_burning
9,2,1,0,84.72,115.46,4.39,112.03,64.6,1.535,1.79,26.5,50.2,0.734,25.544,vehicular
12,10,6,1,222.29,344.2,4.47,9.92,8.81,2.017,4.0,30.6,55.7,0.646,2.219,agricultural_burning
0,4,3,0,156.53,198.01,30.31,30.41,19.61,0.584,0.97,32.9,79.1,0.791,1.003,industrial
5,11,2,0,115.85,140.42,16.02,37.39,21.66,1.147,0.26,17.7,77.0,0.825,2.334,seasonal_inversion
22,12,4,0,66.38,78.35,77.91,3.57,2.4,0.945,3.5,26.7,57.3,0.847,0.046,industrial
18,11,4,0,116.85,219.24,4.94,53.14,32.59,2.08,2.89,33.0,68.2,0.533,10.747,vehicular
17,5,2,0,73.08,101.95,4.82,98.63,67.59,2.999,1.5,32.7,44.9,0.717,20.455,vehicular
22,9,1,0,154.34,254.44,78.72,29.08,17.97,0.841,3.27,35.8,69.2,0.607,0.369,industrial
